Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Magnitude Type,Tsunamigenic,Significant,Approximate location,Depth (km),Solution finalised,Last updated date,Last updated time,Source,Mb,ML,Ms,Mwp,Mw,Longitude unc. (+/- km),Latitude unc.  (+/- km),Time unc. (+/- s),Depth unc. (+/- km),Phases used,Total phases,Stations used,Total stations,Gap Angle,RMS Residual,Location algorithm,Nearest station,EVENT ID,ORIGIN ID
3.1,2017-07-26,13:21:44,2017-07-26,23:21:44,-25.455,129.459,ML,-,-,"Petermann Ranges, NT.",10.0,FINL,2017-07-27,10:42:03,AUST,-,3.1,3.4,-,-,-,-,0.3,0,21,28,16,16,49.26,2.86613287873598571079349944606427559434,locsat:iasp91,N/A,1329106,1508804
3.0,2017-07-26,07:04:01,2017-07-26,17:04:01,-22.372,118.014,ML,-,-,"Hamersley Range, WA.",10.0,FINL,2017-07-27,09:53:55,AUST,-,3.03,3.54,-,-,-,-,1.37,0,12,13,9,9,148.21,1.68454106966396500042069769615125907411,locsat:iasp91,PSA00,1329229,1508771
2.3,2017-07-24,06:53:25,2017-07-24,16:53:25,-32.393,138.779,ML,-,-,"NE of Orroroo, SA.",10.0,FINL,2017-07-25,14:08:56,AUST,-,2.34,3.14,-,-,-,-,0.73,0,16,18,11,11,92.53,1.05321592172629909297120633126423312004,locsat:iasp91,NAPP,1328356,1508045
2.5,2017-07-23,15:49:25,2017-07-24,01:49:25,-33.644,138.85,ML,-,-,"Near Burra, SA.",10.0,FINL,2017-07-25,10:09:41,AUST,-,2.46,3.04,-,-,-,-,1.11,0,13,17,9,11,116.25,2.04933436826233323934560018212998883044,locsat:iasp91,HTT,1328547,1508022
2.0,2017-07-23,05:21:28,2017-07-23,15:21:28,-31.984,138.974,ML,-,-,"E of Hawker, SA.",10.0,FINL,2017-07-24,13:13:40,AUST,-,1.99,-,-,-,-,-,2.09,0,8,8,4,4,204.8,0.5751835576579010659784613656683550021697,locsat:iasp91,N/A,1328311,1507761
2.1,2017-07-22,14:26:27,2017-07-23,00:26:27,-32.091,117.751,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:24:22,AUST,-,2.09,-,-,-,-,-,2.81,0,7,7,4,4,206.86,0.4603978093531102555900415788623772176219,locsat:iasp91,KLBR,1328299,1507736
2.0,2017-07-22,11:50:36,2017-07-22,21:50:36,-32.1,117.763,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:13:36,-,-,2.01,-,-,-,-,-,2.92,0,7,7,4,4,208.69,0.685608280496752960354797794058481161275,locsat:iasp91,KLBR,1328298,1507734
2.2,2017-07-22,08:50:10,2017-07-22,18:50:10,-32.099,117.758,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,11:14:22,AUST,-,2.17,-,-,-,-,-,2.91,0,7,7,4,4,208.06,0.7343165919021965983628335009561218250612,locsat:iasp91,KLBR,1328296,1507732
2.2,2017-07-21,04:54:58,2017-07-21,14:54:58,-32.111,117.762,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,10:33:56,AUST,-,2.23,-,-,-,-,-,2.45,0,8,8,4,4,208.93,0.534904664402919560108430675491388798088,locsat:iasp91,KLBR,1328248,1507678
2.4,2017-07-21,00:20:08,2017-07-21,10:20:08,-32.11,117.768,ML,-,-,"NW of Corrigin, WA.",10.0,FINL,2017-07-24,10:49:36,AUST,-,2.36,-,-,-,-,-,2.67,0,7,7,4,4,209.69,0.4137115972682971746785852268165623122224,locsat:iasp91,KLBR,1328271,1507703
